//Name,ID,Enable,Text,BitNo
EQP-DDMotorError,10001,TRUE,EQP-DDMotorError,0
EQP-CDAError,10002,TRUE,EQP-CDAError,1
EQP-EMO,10003,TRUE,EQP-EMO,2
EQP-StageVacuumError,10004,TRUE,EQP-StageVacuumError,3
EQP-CylinderUpError,10005,TRUE,EQP-CylinderUpError,4
EQP-CylinderDownError,10006,TRUE,EQP-CylinderDownError,5
EQP-DoorOpen,10007,TRUE,EQP-DoorOpen,6
EQP-AxleCardError,10008,TRUE,EQP-AxleCardError,7
EQP-IOCardError,10009,TRUE,EQP-IOCardError,8
EFEM-GetVersionError,20001,TRUE,EFEM-GetVersionError,9
EFEM-RemoteControlError,20002,TRUE,EFEM-RemoteControlError,10
EFEM-LocalControlError,20003,TRUE,EFEM-LocalControlError,11
EFEM-GetCurrentModeError,20004,TRUE,EFEM-GetCurrentModeError,12
EFEM-GetStatusError,20005,TRUE,EFEM-GetStatusError,13
EFEM-All_HomeError,20006,TRUE,EFEM-All_HomeError,14
EFEM-All_ResetError,20007,TRUE,EFEM-All_ResetError,15
EFEM-Stage1_HomeError,20008,TRUE,EFEM-Stage1_HomeError,16
EFEM-Loadport_P1_GetStatusError,30001,TRUE,EFEM-Loadport_P1_GetStatusError,17
EFEM-Loadport_P2_GetStatusError,30002,TRUE,EFEM-Loadport_P2_GetStatusError,18
EFEM-Loadport_P1_HomeError,30003,TRUE,EFEM-Loadport_P1_HomeError,19
EFEM-Loadport_P2_HomeError,30004,TRUE,EFEM-Loadport_P2_HomeError,20
EFEM-Loadport_P1_ResetError,30005,TRUE,EFEM-Loadport_P1_ResetError,21
EFEM-Loadport_P2_ResetError,30006,TRUE,EFEM-Loadport_P2_ResetError,22
EFEM-Loadport_P1_ResetComPortError,30007,TRUE,EFEM-Loadport_P1_ResetComPortError,23
EFEM-Loadport_P2_ResetComPortError,30008,TRUE,EFEM-Loadport_P2_ResetComPortError,24
EFEM-Loadport_P1_ReadFoupIDError,30009,TRUE,EFEM-Loadport_P1_ReadFoupIDError,25
EFEM-Loadport_P2_ReadFoupIDError,30010,TRUE,EFEM-Loadport_P2_ReadFoupIDError,26
EFEM-Loadport_P1_ClampError,30011,TRUE,EFEM-Loadport_P1_ClampError,27
EFEM-Loadport_P2_ClampError,30012,TRUE,EFEM-Loadport_P2_ClampError,28
EFEM-Loadport_P1_LoadError,30013,TRUE,EFEM-Loadport_P1_LoadError,29
EFEM-Loadport_P2_LoadError,30014,TRUE,EFEM-Loadport_P2_LoadError,30
EFEM-Loadport_P1_UnloadError,30015,TRUE,EFEM-Loadport_P1_UnloadError,31
EFEM-Loadport_P2_UnloadError,30016,TRUE,EFEM-Loadport_P2_UnloadError,32
EFEM-Loadport_P1_MapError,30017,TRUE,EFEM-Loadport_P1_MapError,33
EFEM-Loadport_P2_MapError,30018,TRUE,EFEM-Loadport_P2_MapError,34
EFEM-Loadport_P1_StopError,30019,TRUE,EFEM-Loadport_P1_StopError,35
EFEM-Loadport_P2_StopError,30020,TRUE,EFEM-Loadport_P2_StopError,36
EFEM-Loadport_P1_GetWaferSlotError,30021,TRUE,EFEM-Loadport_P1_GetWaferSlotError,37
EFEM-Loadport_P2_GetWaferSlotError,30022,TRUE,EFEM-Loadport_P2_GetWaferSlotError,38
EFEM-Loadport_P1_GetWaferSlot2Error,30023,TRUE,EFEM-Loadport_P1_GetWaferSlot2Error,39
EFEM-Loadport_P2_GetWaferSlot2Error,30024,TRUE,EFEM-Loadport_P2_GetWaferSlot2Error,40
EFEM-Loadport_P1_GetWaferThicknessError,30025,TRUE,EFEM-Loadport_P1_GetWaferThicknessError,41
EFEM-Loadport_P2_GetWaferThicknessError,30026,TRUE,EFEM-Loadport_P2_GetWaferThicknessError,42
EFEM-Loadport_P1_LEDLoadOnError,30027,TRUE,EFEM-Loadport_P1_LEDLoadOnError,43
EFEM-Loadport_P1_LEDLoadOffError,30028,TRUE,EFEM-Loadport_P1_LEDLoadOffError,44
EFEM-Loadport_P1_LEDLoadFlashError,30029,TRUE,EFEM-Loadport_P1_LEDLoadFlashError,45
EFEM-Loadport_P2_LEDLoadOnError,30030,TRUE,EFEM-Loadport_P2_LEDLoadOnError,46
EFEM-Loadport_P2_LEDLoadOffError,30031,TRUE,EFEM-Loadport_P2_LEDLoadOffError,47
EFEM-Loadport_P2_LEDLoadFlashError,30032,TRUE,EFEM-Loadport_P2_LEDLoadFlashError,48
EFEM-Loadport_P1_LEDUnLoadOnError,30033,TRUE,EFEM-Loadport_P1_LEDUnLoadOnError,49
EFEM-Loadport_P1_LEDUnLoadOffError,30034,TRUE,EFEM-Loadport_P1_LEDUnLoadOffError,50
EFEM-Loadport_P1_LEDUnLoadFlashError,30035,TRUE,EFEM-Loadport_P1_LEDUnLoadFlashError,51
EFEM-Loadport_P2_LEDUnLoadOnError,30036,TRUE,EFEM-Loadport_P2_LEDUnLoadOnError,52
EFEM-Loadport_P2_LEDUnLoadOffError,30037,TRUE,EFEM-Loadport_P2_LEDUnLoadOffError,53
EFEM-Loadport_P2_LEDUnLoadFlashError,30038,TRUE,EFEM-Loadport_P2_LEDUnLoadFlashError,54
EFEM-Loadport_P1_LEDStatus1OnError,30039,TRUE,EFEM-Loadport_P1_LEDStatus1OnError,55
EFEM-Loadport_P1_LEDStatus1OffError,30040,TRUE,EFEM-Loadport_P1_LEDStatus1OffError,56
EFEM-Loadport_P1_LEDStatus1FlashError,30041,TRUE,EFEM-Loadport_P1_LEDStatus1FlashError,57
EFEM-Loadport_P2_LEDStatus1OnError,30042,TRUE,EFEM-Loadport_P2_LEDStatus1OnError,58
EFEM-Loadport_P2_LEDStatus1OffError,30043,TRUE,EFEM-Loadport_P2_LEDStatus1OffError,59
EFEM-Loadport_P2_LEDStatus1FlashError,30044,TRUE,EFEM-Loadport_P2_LEDStatus1FlashError,60
EFEM-Loadport_P1_LEDStatus2OnError,30045,TRUE,EFEM-Loadport_P1_LEDStatus2OnError,61
EFEM-Loadport_P1_LEDStatus2OffError,30046,TRUE,EFEM-Loadport_P1_LEDStatus2OffError,62
EFEM-Loadport_P1_LEDStatus2FlashError,30047,TRUE,EFEM-Loadport_P1_LEDStatus2FlashError,63
EFEM-Loadport_P2_LEDStatus2OnError,30048,TRUE,EFEM-Loadport_P2_LEDStatus2OnError,64
EFEM-Loadport_P2_LEDStatus2OffError,30049,TRUE,EFEM-Loadport_P2_LEDStatus2OffError,65
EFEM-Loadport_P2_LEDStatus2FlashError,30050,TRUE,EFEM-Loadport_P2_LEDStatus2FlashError,66
EFEM-Loadport_P1_GetLEDStatusError,30051,TRUE,EFEM-Loadport_P1_GetLEDStatusError,67
EFEM-Loadport_P2_GetLEDStatusError,30052,TRUE,EFEM-Loadport_P2_GetLEDStatusError,68
EFEM-Loadport_P1_SetOperatorAccessButtonOnError,30053,TRUE,EFEM-Loadport_P1_SetOperatorAccessButtonOnError,69
EFEM-Loadport_P1_SetOperatorAccessButtonOffError,30054,TRUE,EFEM-Loadport_P1_SetOperatorAccessButtonOffError,70
EFEM-Loadport_P1_SetOperatorAccessButtonFlashError,30055,TRUE,EFEM-Loadport_P1_SetOperatorAccessButtonFlashError,71
EFEM-Loadport_P2_SetOperatorAccessButtonOnError,30056,TRUE,EFEM-Loadport_P2_SetOperatorAccessButtonOnError,72
EFEM-Loadport_P2_SetOperatorAccessButtonOffError,30057,TRUE,EFEM-Loadport_P2_SetOperatorAccessButtonOffError,73
EFEM-Loadport_P2_SetOperatorAccessButtonFlashError,30058,TRUE,EFEM-Loadport_P2_SetOperatorAccessButtonFlashError,74
EFEM-Loadport_P1_GetZAxisPosError,30059,TRUE,EFEM-Loadport_P1_GetZAxisPosError,75
EFEM-Loadport_P2_GetZAxisPosError,30060,TRUE,EFEM-Loadport_P2_GetZAxisPosError,76
EFEM-Robot_GetStatusError,40001,TRUE,EFEM-Robot_GetStatusError,77
EFEM-Robot_StopError,40002,TRUE,EFEM-Robot_StopError,78
EFEM-Robot_ReStartError,40003,TRUE,EFEM-Robot_ReStartError,79
EFEM-Robot_SetRobotSpeedError,40004,TRUE,EFEM-Robot_SetRobotSpeedError,80
EFEM-Robot_ReadPositionError,40005,TRUE,EFEM-Robot_ReadPositionError,81
EFEM-Robot_WaferGetError(LowerArm-P1-Slot1),40006,TRUE,EFEM-Robot_WaferGetError(LowerArm-P1-Slot1),82
